huc	basin
10040105	Big Dry
10040106	Little Dry
100402	Musselshell
10040201	Upper Musselshell
10040202	Middle Musselshell
10040203	Flatwillow
10040204	Box Elder
10040205	Lower Musselshell
1005	Milk
100500	Milk
10050001	Milk Headwaters
10050002	Upper Milk
10050003	Wild Horse Lake
10050004	Middle Milk
10050005	Big Sandy
10050006	Sage
10050007	Lodge
10050008	Battle
10050009	Peoples
10050010	Cottonwood
10050011	Whitewater
10050012	Lower Milk
10050013	Frenchman
10050014	Beaver
10050015	Rock
10050016	Porcupine
1006	Missouri-Poplar
100600	Missouri-Poplar
10060001	Prarie Elk-Wolf
10060002	Redwater
10060003	Poplar
10060004	West Fork Poplar
10060005	Charlie-Little Muddy
10060006	Big Muddy
10060007	Brush Lake closed basin
1007	Upper Yellowstone
100700	Upper Yellowstone
10070001	Yellowstone Headwaters
10070002	Upper Yellowstone
10070003	Shields
10070004	Upper Yellowstone-Lake Basin
10070005	Stillwater
10070006	Clarks Fork Yellowstone
10070007	Upper Yellowstone-Pompeys Pillar
10070008	Pryor
1008	Big Horn
100800	Big Horn
10080001	Upper Wind
10080002	Little Wind
10080003	Popo Agie
10080004	Muskrat
10080005	Lower Wind
10080006	Badwater
10080007	Upper Bighorn
10080008	Nowood
10080009	Greybull
10080010	Big Horn Lake
10080011	Dry
10080012	North Fork Shoshone
10080013	South Fork Shoshone
10080014	Shoshone
10080015	Lower Bighorn
10080016	Little Bighorn
1009	Powder-Tongue
100901	Tongue
10090101	Upper Tongue
10090102	Lower Tongue
100902	Powder
10090201	Middle Fork Powder
10090202	Upper Powder
10090203	South Fork Powder
10090204	Salt
10090205	Crazy Woman
10090206	Clear
10090207	Middle Powder
10090208	Little Powder
10090209	Lower Powder
10090210	Mizpah
1010	Lower Yellowstone
101000	Lower Yellowstone
10100001	Lower Yellowstone-Sunday
10100002	Big Porcupine
10100003	Rosebud
10100004	Lower Yellowstone
10100005	O'fallon
1011	Missouri-Little Missouri
101101	Lake Sakakawea
10110101	Lake Sakakawea
10110102	Little Muddy
101102	Little Missouri
10110201	Upper Little Missouri
10110202	Boxelder
10110203	Middle Little Missouri
10110204	Beaver
10110205	Lower Little Missouri
1012	Cheyenne
101201	Cheyenne
10120101	Antelope
10120102	Dry Fork Cheyenne
10120103	Upper Cheyenne
10120104	Lance
10120105	Lightning
10120106	Angostura Reservoir
10120107	Beaver
10120108	Hat
10120109	Middle Cheyenne-Spring
10120110	Rapid
10120111	Middle Cheyenne-Elk
10120112	Lower Cheyenne
10120113	Cherry
101202	Belle Fourche
10120201	Upper Belle Fourche
10120202	Lower Belle Fourche
10120203	Redwater
1013	Missouri-Oahe
101301	Lake Oahe
10130101	Painted Woods-Square Butte
10130102	Upper Lake Oahe
10130103	Apple
10130104	Beaver
10130105	Lower Lake Oahe
10130106	West Missouri Coteau
101302	Cannonball-Heart-Knife
10130201	Knife
10130202	Upper Heart
10130203	Lower Heart
10130204	Upper Cannonball
10130205	Cedar
10130206	Lower Cannonball
101303	Grand-Moreau
10130301	North Fork Grand
10130302	South Fork Grand
10130303	Grand
10130304	South Fork Moreau
10130305	Upper Moreau
10130306	Lower Moreau
1014	Missouri-White
101401	Fort Randall Reservoir
10140101	Fort Randall Reservoir
10140102	Bad
10140103	Medicine Knoll
10140104	Medicine
10140105	Crow
101402	White
10140201	Upper White
10140202	Middle White
10140203	Little White
10140204	Lower White
1015	Niobrara
101500	Niobrara
10150001	Ponca
10150002	Niobrara Headwaters
10150003	Upper Niobrara
10150004	Middle Niobrara
10150005	Snake
10150006	Keya Paha
10150007	Lower Niobrara
1016	James
101600	James
10160001	James Headwaters
10160002	Pipestem
10160003	Upper James
10160004	Elm
10160005	Mud
10160006	Middle James
10160007	East Missouri Coteau
10160008	Snake
10160009	Turtle
10160010	North Big Sioux Coteau
10160011	Lower James
1017	Missouri-Big Sioux
101701	Lewis and Clark Lake
10170101	Lewis and Clark Lake
10170102	Vermillion
10170103	South Big Sioux Coteau
101702	Big Sioux
10170201	Middle Big Sioux Coteau
10170202	Upper Big Sioux
10170203	Lower Big Sioux
10170204	Rock
1018	North Platte
101800	North Platte
10180001	North Platte Headwaters
10180002	Upper North Platte
10180003	Pathfinder-Seminoe Reservoirs
10180004	Medicine Bow
10180005	Little Medicine Bow
10180006	Sweetwater
10180007	Middle North Platte-Casper
10180008	Glendo Reservoir
10180009	Middle North Platte-Scotts Bluff
10180010	Upper Laramie
10180011	Lower Laramie
10180012	Horse
10180013	Pumpkin
10180014	Lower North Platte
1019	South Platte
101900	South Platte
10190001	South Platte Headwaters
10190002	Upper South Platte
10190003	Middle South Platte-Cherry Creek
10190004	Clear
10190005	St. Vrain
10190006	Big Thompson
10190007	Cache La Poudre
10190008	Lone Tree-Owl
10190009	Crow
10190010	Kiowa
10190011	Bijou
10190012	Middle South Platte-Sterling
10190013	Beaver
10190014	Pawnee
10190015	Upper Lodgepole
10190016	Lower Lodgepole
10190017	Sidney Draw
10190018	Lower South Platte
1020	Platte
102001	Middle Platte
10200101	Middle Platte-Buffalo
10200102	Wood
10200103	Middle Platte-Prairie
102002	Lower Platte
10200201	Lower Platte-Shell
10200202	Lower Platte
10200203	Salt
1021	Loup
102100	Loup
10210001	Upper Middle Loup
10210002	Dismal
10210003	Lower Middle Loup
10210004	South Loup
10210005	Mud
10210006	Upper North Loup
10210007	Lower North Loup
10210008	Calamus
10210009	Loup
10210010	Cedar
1022	Elkhorn
102200	Elkhorn
10220001	Upper Elkhorn
10220002	North Fork Elkhorn
10220003	Lower Elkhorn
10220004	Logan
1023	Missouri-Little Sioux
102300	Missouri-Little Sioux
10230001	Blackbird-Soldier
10230002	Floyd
10230003	Little Sioux
10230004	Monona-Harrison Ditch
10230005	Maple
10230006	Big Papillion-Mosquito
10230007	Boyer
1024	Missouri-Nishnabotna
102400	Missouri-Nishnabotna
10240001	Keg-Weeping Water
10240002	West Nishnabotna
10240003	East Nishnabotna
10240004	Nishnabotna
10240005	Tarkio-Wolf
10240006	Little Nemaha
10240007	South Fork Big Nemaha
10240008	Big Nemaha
10240009	West Nodaway
10240010	Nodaway
10240011	Independence-Sugar
10240012	Platte
10240013	One Hundred and Two
1025	Republican
102500	Republican
10250001	Arikaree
10250002	North Fork Republican
10250003	South Fork Republican
10250004	Upper Republican
10250005	Frenchman
10250006	Stinking Water
10250007	Red Willow
10250008	Medicine
10250009	Harlan County Reservoir
10250010	Upper Sappa
10250011	Lower Sappa
10250012	South Fork Beaver
10250013	Little Beaver
10250014	Beaver
10250015	Prairie Dog
10250016	Middle Republican
10250017	Lower Republican
1026	Smoky Hill
102600	Smoky Hill
10260001	Smoky Hill Headwaters
10260002	North Fork Smoky Hill
10260003	Upper Smoky Hill
10260004	Ladder
10260005	Hackberry
10260006	Middle Smoky Hill
10260007	Big
10260008	Lower Smoky Hill
10260009	Upper Saline
10260010	Lower Saline
10260011	Upper North Fork Solomon
10260012	Lower North Fork Solomon
10260013	Upper South Fork Solomon
10260014	Lower South Fork Solomon
10260015	Solomon
1027	Kansas
102701	Kansas
10270101	Upper Kansas
10270102	Middle Kansas
10270103	Delaware
10270104	Lower Kansas
102702	Big Blue
10270201	Upper Big Blue
10270202	Middle Big Blue
10270203	West Fork Big Blue
10270204	Turkey
10270205	Lower Big Blue
10270206	Upper Little Blue
10270207	Lower Little Blue
1028	Chariton-Grand
102801	Grand
10280101	Upper Grand
10280102	Thompson
10280103	Lower Grand
102802	Chariton
10280201	Upper Chariton
10280202	Lower Chariton
10280203	Little Chariton
1029	Gasconade-Osage
102901	Osage
10290101	Upper Marais Des Cygnes
10290102	Lower Marais Des Cygnes
10290103	Little Osage
10290104	Marmaton
10290105	Harry S. Missouri
10290106	Sac
10290107	Pomme De Terre
10290108	South Grand
10290109	Lake of the Ozarks
10290110	Niangua
10290111	Lower Osage
102902	Gasconade
10290201	Upper Gasconade
10290202	Big Piney
10290203	Lower Gasconade
1030	Lower Missouri
103001	Lower Missouri-Blackwater
10300101	Lower Missouri-Crooked
10300102	Lower Missouri-Moreau
10300103	Lamine
10300104	Blackwater
103002	Lower Missouri
10300200	Lower Missouri
11	Arkansas-White-Red
1101	Upper White
110100	Upper White
11010001	Beaver Reservoir
11010002	James
11010003	Bull Shoals Lake
11010004	Middle White
11010005	Buffalo
11010006	North Fork White
11010007	Upper Black
11010008	Current
11010009	Lower Black
11010010	Spring
11010011	Eleven Point
11010012	Strawberry
11010013	Upper White-Village
11010014	Little Red
1102	Upper Arkansas
110200	Upper Arkansas
11020001	Arkansas Headwaters
11020002	Upper Arkansas
11020003	Fountain
11020004	Chico
11020005	Upper Arkansas-Lake Meredith
11020006	Huerfano
11020007	Apishapa
11020008	Horse
11020009	Upper Arkansas-John Martin
11020010	Purgatoire
11020011	Big Sandy
11020012	Rush
11020013	Two Butte
1103	Middle Arkansas
110300	Middle Arkansas
11030001	Middle Arkansas-Lake Mckinney
11030002	Whitewoman
11030003	Arkansas-Dodge City
11030004	Coon-Pickerel
11030005	Pawnee
11030006	Buckner
11030007	Upper Walnut Creek
11030008	Lower Walnut Creek
11030009	Rattlesnake
11030010	Gar-Peace
11030011	Cow
11030012	Little Arkansas
11030013	Middle Arkansas-Slate
11030014	North Fork Ninnescah
11030015	South Fork Ninnescah
11030016	Ninnescah
11030017	Upper Walnut River
11030018	Lower Walnut River
1104	Upper Cimarron
110400	Upper Cimarron
11040001	Cimarron headwaters
11040002	Upper Cimarron
11040003	North Fork Cimarron
11040004	Sand Arroyo
11040005	Bear
11040006	Upper Cimarron-Liberal
11040007	Crooked
11040008	Upper Cimarron-Bluff
1105	Lower Cimarron
110500	Lower Cimarron
11050001	Lower Cimarron-Eagle Chief
11050002	Lower Cimarron-Skeleton
11050003	Lower Cimarron
1106	Arkansas - Keystone
110600	Arkansas - Keystone
11060001	Kaw Lake
11060002	Upper Salt Fork Arkansas
11060003	Medicine Lodge
11060004	Lower Salt Fork Arkansas
11060005	Chikaskia
11060006	Black Bear-Red Rock
1107	Neosho - Verdigris
110701	Verdigris
11070101	Upper Verdigris
11070102	Fall
11070103	Middle Verdigris
11070104	Elk
11070105	Lower Verdigris
11070106	Caney
11070107	Bird
110702	Neosho
11070201	Neosho headwaters
11070202	Upper Cottonwood
11070203	Lower Cottonwood
11070204	Upper Neosho
11070205	Middle Neosho
11070206	Lake O' the Cherokees
11070207	Spring
11070208	Elk
11070209	Lower Neosho
1108	Upper Canadian
110800	Upper Canadian
11080001	Canadian headwaters
11080002	Cimarron
11080003	Upper Canadian
11080004	Mora
11080005	Conchas
11080006	Upper Canadian-Ute Reservoir
11080007	Ute
11080008	Revuelto
1109	Lower Canadian
110901	Middle Canadian
11090101	Middle Canadian-Trujillo
11090102	Punta De Agua
11090103	Rita Blanca
11090104	Carrizo
11090105	Lake Meredith
11090106	Middle Canadian-Spring
110902	Lower Canadian
11090201	Lower Canadian-Deer
11090202	Lower Canadian-Walnut
11090203	Little
11090204	Lower Canadian
1110	North Canadian
111001	Upper Beaver
11100101	Upper Beaver
11100102	Middle Beaver
11100103	Coldwater
11100104	Palo Duro
111002	Lower Beaver
11100201	Lower Beaver
11100202	Upper Wolf
11100203	Lower Wolf
111003	Lower North Canadian
11100301	Middle North Canadian
11100302	Lower North Canadian
11100303	Deep Fork
1111	Lower Arkansas
111101	Robert S. Kerr Reservoir
11110101	Polecat-Snake
11110102	Dirty-Greenleaf
11110103	Illinois
11110104	Robert S. Kerr Reservoir
11110105	Poteau
111102	Lower Arkansas-Fourche La Fave
11110201	Frog-Mulberry
11110202	Dardanelle Reservoir
11110203	Lake Conway-Point Remove
11110204	Petit Jean
11110205	Cadron
11110206	Fourche La Fave
11110207	Lower Arkansas-Maumelle
1112	Red headwaters
111201	Prairie Dog Town Fork Red
11120101	Tierra Blanca
11120102	Palo Duro
11120103	Upper Prairie Dog Town Fork Red
11120104	Tule
11120105	Lower Prairie Dog Town Fork Red
111202	Salt Fork Red
11120201	Upper Salt Fork Red
11120202	Lower Salt Fork Red
111203	North Fork Red
11120301	Upper North Fork Red
11120302	Middle North Fork Red
11120303	Lower North Fork Red
11120304	Elm Fork Red
1113	Red - Washita
111301	Red-Pease
11130101	Groesbeck-Sandy
11130102	Blue-China
11130103	North Pease
11130104	Middle Pease
11130105	Pease
111302	Red-Lake Texoma
11130201	Farmers-Mud
11130202	Cache
11130203	West Cache
11130204	North Wichita
11130205	South Wichita
11130206	Wichita
11130207	Southern Beaver
11130208	Northern Beaver
11130209	Little Wichita
11130210	Lake Texoma
111303	Washita
11130301	Washita headwaters
11130302	Upper Washita
11130303	Middle Washita
11130304	Lower Washita
1114	Red-Sulphur
111401	Red-Little
11140101	Bois D'arc-Island
11140102	Blue
11140103	Muddy Boggy
11140104	Clear Boggy
11140105	Kiamichi
11140106	Pecan-Waterhole
11140107	Upper Little
11140108	Mountain Fork
11140109	Lower Little
111402	Red-Saline
11140201	Mckinney-Posten Bayous
11140202	Middle Red-Coushatta
11140203	Loggy Bayou
11140204	Red Chute
11140205	Bodcau Bayou
11140206	Bayou Pierre
11140207	Lower Red-Lake Iatt
11140208	Saline Bayou
11140209	Black Lake Bayou
111403	Big Cypress - Sulphur
11140301	Sulphur headwaters
11140302	Lower Sulphur
11140303	White Oak Bayou
11140304	Cross Bayou
11140305	Lake O'the Pines
11140306	Caddo Lake
11140307	Little Cypress
12	Texas-Gulf
1201	Sabine
120100	Sabine
12010001	Upper Sabine
12010002	Middle Sabine
12010003	Lake Fork
12010004	Toledo Bend Reservoir
12010005	Lower Sabine
1202	Neches
120200	Neches
12020001	Upper Neches
12020002	Middle Neches
12020003	Lower Neches
12020004	Upper Angelina
12020005	Lower Angelina
12020006	Village
12020007	Pine Island Bayou
1203	Trinity
120301	Upper Trinity
12030101	Upper West Fork Trinity
12030102	Lower West Fork Trinity
12030103	Elm Fork Trinity
12030104	Denton
12030105	Upper Trinity
12030106	East Fork Trinity
12030107	Cedar
12030108	Richland
12030109	Chambers
120302	Lower Trinity
12030201	Lower Trinity-Tehuacana
12030202	Lower Trinity-Kickapoo
12030203	Lower Trinity
1204	Galveston Bay-San Jacinto
120401	San Jacinto
12040101	West Fork San Jacinto
12040102	Spring
12040103	East Fork San Jacinto
12040104	Buffalo-San Jacinto
120402	Galveston Bay-Sabine Lake
12040201	Sabine Lake
12040202	East Galveston Bay
12040203	North Galveston Bay
12040204	West Galveston Bay
12040205	Austin-Oyster
1205	Brazos headwaters
120500	Brazos headwaters
12050001	Yellow House Draw
12050002	Blackwater Draw
12050003	North Fork Double Mountain Fork
12050004	Double Moutain Fork Brazos
12050005	Running Water Draw
12050006	White
12050007	Salt Fork Brazos
1206	Middle Brazos
120601	Middle Brazos-Clear Fork
12060101	Middle Brazos-Millers
12060102	Upper Clear Fork Brazos
12060103	Paint
12060104	Lower Clear Fork Brazos
12060105	Hubbard
120602	Middle Brazos-Bosque
12060201	Middle Brazos-Palo Pinto
12060202	Middle Brazos-Lake Whitney
12060203	Bosque
12060204	North Bosque
1207	Lower Brazos
120701	Lower Brazos
12070101	Lower Brazos-Little Brazos
12070102	Yegua
12070103	Navasota
12070104	Lower Brazos
120702	Little
12070201	Leon
12070202	Cowhouse
12070203	Lampasas
12070204	Little
12070205	San Gabriel
1208	Upper Colorado
120800	Upper Colorado
12080001	Lost Draw
12080002	Colorado headwaters
12080003	Monument-Seminole Draws
12080004	Mustang Draw
12080005	Johnson Draw
12080006	Sulphur Springs Draw
12080007	Beals
12080008	Upper Colorado
1209	Lower Colorado-San Bernard Coastal
120901	Middle Colorado-Concho
12090101	Middle Colorado-Elm
12090102	South Concho
12090103	Middle Concho
12090104	North Concho
12090105	Concho
12090106	Middle Colorado
12090107	Pecan Bayou
12090108	Jim Ned
12090109	San Saba
12090110	Brady
120902	Middle Colorado-Llano
12090201	Buchanan-Lyndon B
12090202	North Llano
12090203	South Llano
12090204	Llano
12090205	Austin-Travis Lakes
12090206	Pedernales
120903	Lower Colorado
12090301	Lower Colorado-Cummins
12090302	Lower Colorado
120904	San Bernard Coastal
12090401	San Bernard
12090402	East Matagorda Bay
1210	Central Texas Coastal
121001	Lavaca
12100101	Lavaca
12100102	Navidad
121002	Guadalupe
12100201	Upper Guadalupe
12100202	Middle Guadalupe
12100203	San Marcos
12100204	Lower Guadalupe
121003	San Antonio
12100301	Upper San Antonio
12100302	Medina
12100303	Lower San Antonio
12100304	Cibolo
121004	Central Texas Coastal
12100401	Central Matagorda Bay
12100402	West Matagorda Bay
12100403	East San Antonio Bay
12100404	West San Antonio Bay
12100405	Aransas Bay
12100406	Mission
12100407	Aransas
1211	Nueces-Southwestern Texas Coastal
121101	Nueces
12110101	Nueces headwaters
12110102	West Nueces
12110103	Upper Nueces
12110104	Turkey
12110105	Middle Nueces
12110106	Upper Frio
12110107	Hondo
12110108	Lower Frio
12110109	San Miguel
12110110	Atascosa
12110111	Lower Nueces
121102	Southwestern Texas Coastal
12110201	North Corpus Christi Bay
12110202	South Corpus Christi Bay
12110203	North Laguna Madre
12110204	San Fernando
12110205	Baffin Bay
12110206	Palo Blanco
12110207	Central Laguna Madre
12110208	South Laguna Madre
13	Rio Grande
1301	Rio Grande headwaters
130100	Rio Grande headwaters
13010001	Rio Grande headwaters
13010002	Alamosa-Trinchera
13010003	San Luis
13010004	Saguache
13010005	Conejos
1302	Rio Grande-Elephant Butte
130201	Upper Rio Grande
13020101	Upper Rio Grande
13020102	Rio Chama
130202	Rio Grande-Elephant Butte
13020201	Rio Grande-Santa Fe
13020202	Jemez
13020203	Rio Grande-Albuquerque
13020204	Rio Puerco
13020205	Arroyo Chico
13020206	North Plains
13020207	Rio San Jose
13020208	Plains of San Agustin
13020209	Rio Salado
13020210	Jornada Del Muerto
13020211	Elephant Butte Reservoir
1303	Rio Grande-Mimbres
130301	Rio Grande-Caballo
13030101	Caballo
13030102	El Paso-Las Cruces
13030103	Jornada Draw
130302	Mimbres
13030201	Playas Lake
13030202	Mimbres
1304	Rio Grande-Amistad
130401	Rio Grande-Fort Quitman
13040100	Rio Grande-Fort Quitman
130402	Rio Grande-Amistad
13040201	Cibolo-Red Light
13040202	Alamito
13040203	Black Hills-Fresno
13040204	Terlingua
13040205	Big Bend
13040206	Maravillas
13040207	Santiago Draw
13040208	Reagan-Sanderson
13040209	San Francisco
13040210	Lozier Canyon
13040211	Big Canyon
13040212	Amistad Reservoir
130403	Devils
13040301	Upper Devils
13040302	Lower Devils
13040303	Dry Devils
1305	Rio Grande closed basins
130500	Rio Grande closed basins
13050001	Western Estancia
13050002	Eastern Estancia
13050003	Tularosa Valley
13050004	Salt Basin
1306	Upper Pecos
130600	Upper Pecos
13060001	Pecos headwaters
13060002	Pintada Arroyo
13060003	Upper Pecos
13060004	Taiban
13060005	Arroyo Del Macho
13060006	Gallo Arroyo
13060007	Upper Pecos-Long Arroyo
13060008	Rio Hondo
13060009	Rio Felix
13060010	Rio Penasco
13060011	Upper Pecos-Black
1307	Lower Pecos
130700	Lower Pecos
13070001	Lower Pecos-Red Bluff Reservoir
13070002	Delaware
13070003	Toyah
13070004	Salt Draw
13070005	Barrilla Draw
13070006	Coyanosa-Hackberry Draws
13070007	Landreth-Monument Draws
13070008	Lower Pecos
13070009	Tunas
13070010	Independence
13070011	Howard Draw
1308	Rio Grande-Falcon
130800	Rio Grande-Falcon
13080001	Elm-Sycamore
13080002	San Ambrosia-Santa Isabel
13080003	International Falcon Reservoir
1309	Lower Rio Grande
130900	Lower Rio Grande
13090001	Los Olmos
13090002	Lower Rio Grande
14	Upper Colorado
1401	Colorado headwaters
140100	Colorado headwaters
14010001	Colorado headwaters
14010002	Blue
14010003	Eagle
14010004	Roaring Fork
14010005	Colorado headwaters-Plateau
14010006	Parachute-Roan
1402	Gunnison
140200	Gunnison
14020001	East-Taylor
14020002	Upper Gunnison
14020003	Tomichi
14020004	North Fork Gunnison
14020005	Lower Gunnison
14020006	Uncompahange
1403	Upper Colorado-Dolores
140300	Upper Colorado-Dolores
14030001	Westwater Canyon
14030002	Upper Dolores
14030003	San Miguel
14030004	Lower Dolores
14030005	Upper Colorado-Kane Springs
1404	Great Divide - Upper Green
140401	Upper Green
14040101	Upper Green
14040102	New Fork
14040103	Upper Green-Slate
14040104	Big Sandy
14040105	Bitter
14040106	Upper Green-Flaming Gorge Reservoir
14040107	Blacks Fork
14040108	Muddy
14040109	Vermilion
140402	Great Divide closed basin
14040200	Great Divide closed basin
1405	White-Yampa
140500	White - Yampa
14050001	Upper Yampa
14050002	Lower Yampa
14050003	Little Snake
14050004	Muddy
14050005	Upper White
14050006	Piceance-Yellow
14050007	Lower White
1406	Lower Green
140600	Lower Green
14060001	Lower Green-Diamond
14060002	Ashley-Brush
14060003	Duchesne
14060004	Strawberry
14060005	Lower Green-Desolation Canyon
14060006	Willow
14060007	Price
14060008	Lower Green
14060009	San Rafael
1407	Upper Colorado-Dirty Devil
140700	Upper Colorado-Dirty Devil
14070001	Upper Lake Powell
14070002	Muddy
14070003	Fremont
14070004	Dirty Devil
14070005	Escalante
14070006	Lower Lake Powell
14070007	Paria
1408	San Juan
140801	Upper San Juan
14080101	Upper San Juan
14080102	Piedra
14080103	Blanco Canyon
14080104	Animas
14080105	Middle San Juan
14080106	Chaco
14080107	Mancos
140802	Lower San Juan
14080201	Lower San Juan-Four Corners
14080202	Mcelmo
14080203	Montezuma
14080204	Chinle
14080205	Lower San Juan
15	Lower Colorado
1501	Lower Colorado-Lake Mead
150100	Lower Colorado-Lake Mead
15010001	Lower Colorado-Marble Canyon
15010002	Grand Canyon
15010003	Kanab
15010004	Havasu Canyon
15010005	Lake Mead
15010006	Grand Wash
15010007	Hualapai Wash
15010008	Upper Virgin
15010009	Fort Pierce Wash
15010010	Lower Virgin
15010011	White
15010012	Muddy
15010013	Meadow Valley Wash
15010014	Detrital Wash
15010015	Las Vegas Wash
1502	Little Colorado
150200	Little Colorado
15020001	Little Colorado headwaters
15020002	Upper Little Colorado
15020003	Carrizo Wash
15020004	Zuni
15020005	Silver
15020006	Upper Puerco
15020007	Lower Puerco
15020008	Middle Little Colorado
15020009	Leroux Wash
15020010	Chevelon Canyon
15020011	Cottonwood Wash
15020012	Corn-Oraibi
15020013	Polacca Wash
15020014	Jadito Wash
15020015	Canyon Diablo
15020016	Lower Little Colorado
15020017	Dinnebito Wash
15020018	Moenkopi Wash
1503	Lower Colorado
150301	Lower Colorado
15030101	Havasu-Mohave Lakes
15030102	Piute Wash
15030103	Sacramento Wash
15030104	Imperial Reservoir
15030105	Bouse Wash
15030106	Tyson Wash
15030107	Lower Colorado
15030108	Yuma Desert
150302	Bill Williams
15030201	Big Sandy
15030202	Burro
15030203	Santa Maria
15030204	Bill Williams
1504	Upper Gila
150400	Upper Gila
15040001	Upper Gila
15040002	Upper Gila-Mangas
15040003	Animas Valley
15040004	San Francisco
15040005	Upper Gila-San Carlos Reservoir
15040006	San Simon
15040007	San Carlos
1505	Middle Gila
150501	Middle Gila
15050100	Middle Gila
150502	San Pedro-Willcox
15050201	Willcox Playa
15050202	Upper San Pedro
15050203	Lower San Pedro
150503	Santa Cruz
15050301	Upper Santa Cruz
15050302	Rillito
15050303	Lower Santa Cruz
15050304	Brawley Wash
15050305	Aguirre Valley
15050306	Santa Rosa Wash
1506	Salt
150601	Salt
15060101	Black
15060102	White
15060103	Upper Salt
15060104	Carrizo
15060105	Tonto
15060106	Lower Salt
150602	Verde
15060201	Big Chino-Williamson Valley
15060202	Upper Verde
15060203	Lower Verde
1507	Lower Gila
150701	Lower Gila-Agua Fria
15070101	Lower Gila-Painted Rock Reservoir
15070102	Agua Fria
15070103	Hassayampa
15070104	Centennial Wash
150702	Lower Gila
15070201	Lower Gila
15070202	Tenmile Wash
15070203	San Cristobal Wash
1508	Sonora
150801	Rio Sonoyta
15080101	San Simon Wash
15080102	Rio Sonoyta
15080103	Tule Desert
150802	Rio De La Concepcion
15080200	Rio De La Concepcion
150803	Rio De Bavispe
15080301	Whitewater Draw
15080302	San Bernardino Valley
15080303	Cloverdale
16	Great Basin
1601	Bear
160101	Upper Bear
16010101	Upper Bear
16010102	Central Bear
160102	Lower Bear
16010201	Bear Lake
16010202	Middle Bear
16010203	Little Bear-Logan
16010204	Lower Bear-Malad
1602	Great Salt Lake
160201	Weber
16020101	Upper Weber
16020102	Lower Weber
160202	Jordan
16020201	Utah Lake
16020202	Spanish Fork
16020203	Provo
16020204	Jordan
160203	Great Salt Lake
16020301	Hamlin-Snake Valleys
16020302	Pine Valley
16020303	Tule Valley
16020304	Rush-Tooele Valleys
16020305	Skull Valley
16020306	Southern Great Salt Lake Desert
16020307	Pilot-Thousand Springs
16020308	Northern Great Salt Lake Desert
16020309	Curlew Valley
16020310	Great Salt Lake
1603	Escalante Desert-Sevier Lake
160300	Escalante Desert-Sevier Lake
16030001	Upper Sevier
16030002	East Fork Sevier
16030003	Middle Sevier
16030004	San Pitch
16030005	Lower Sevier
16030006	Escalante Desert
16030007	Beaver Bottoms-Upper Beaver
16030008	Lower Beaver
16030009	Sevier Lake
1604	Black Rock Desert-Humboldt
160401	Humboldt
16040101	Upper Humboldt
16040102	North Fork Humboldt
16040103	South Fork Humboldt
16040104	Pine
16040105	Middle Humboldt
16040106	Rock
16040107	Reese
16040108	Lower Humboldt
16040109	Little Humboldt
160402	Black Rock Desert
16040201	Upper Quinn
16040202	Lower Quinn
16040203	Smoke Creek Desert
16040204	Massacre Lake
16040205	Thousand-Virgin
1605	Central Lahontan
160501	Truckee
16050101	Lake Tahoe
16050102	Truckee
16050103	Pyramid-Winnemucca Lakes
16050104	Granite Springs Valley
160502	Carson
16050201	Upper Carson
16050202	Middle Carson
16050203	Carson Desert
160503	Walker
16050301	East Walker
16050302	West Walker
16050303	Walker
16050304	Walker Lake
1606	Central Nevada Desert Basins
160600	Central Nevada Desert Basins
16060001	Dixie Valley
16060002	Gabbs Valley
16060003	Southern Big Smoky Valley
16060004	Northern Big Smoky Valley
16060005	Diamond-Monitor Valleys
16060006	Little Smoky-Newark Valleys
16060007	Long-Ruby Valleys
16060008	Spring-Steptoe Valleys
16060009	Dry Lake Valley
16060010	Fish Lake-Soda Spring Valleys
16060011	Ralston-Stone Cabin Valleys
16060012	Hot Creek-Railroad Valleys
16060013	Cactus-Sarcobatus Flats
16060014	Sand Spring-Tikaboo Valleys
16060015	Ivanpah-Pahrump Valleys
17	Pacific Northwest
1701	Kootenai-Pend Oreille-Spokane
170101	Kootenai
17010101	Upper Kootenai
17010102	Fisher
17010103	Yaak
17010104	Lower Kootenai
17010105	Moyie
170102	Pend Oreille
17010201	Upper Clark Fork
17010202	Flint-Rock
17010203	Blackfoot
17010204	Middle Clark Fork
17010205	Bitterroot
17010206	North Fork Flathead
17010207	Middle Fork Flathead
17010208	Flathead Lake
17010209	South Fork Flathead
17010210	Stillwater
17010211	Swan
17010212	Lower Flathead
17010213	Lower Clark Fork
17010214	Pend Oreille Lake
17010215	Priest
17010216	Pend Oreille
170103	Spokane
17010301	Upper Coeur D'alene
17010302	South Fork Coeur D'alene
17010303	Coeur D'alene Lake
17010304	St. Joe
17010305	Upper Spokane
17010306	Hangman
17010307	Lower Spokane
17010308	Little Spokane
1702	Upper Columbia
170200	Upper Columbia
17020001	Franklin D. Roosevelt Lake
17020002	Kettle
17020003	Colville
17020004	Sanpoil
17020005	Chief Joseph
17020006	Okanogan
17020007	Similkameen
17020008	Methow
17020009	Lake Chelan
17020010	Upper Columbia-Entiat
17020011	Wenatchee
17020012	Moses Coulee
17020013	Upper Crab
17020014	Banks Lake
17020015	Lower Crab
17020016	Upper Columbia-Priest Rapids
1703	Yakima
170300	Yakima
17030001	Upper Yakima
17030002	Naches
17030003	Lower Yakima, Washington
1704	Upper Snake
170401	Snake headwaters
17040101	Snake headwaters
